New column 0,New column 1,New column 2
Anand Girdhar,Reviewed in India on 22 May 2023,"To Buying a Printer we check brand, features, quality & warrenty in this Hp Deskjet printer initial cost of this printer is low as compare to operating cost. I purchase this printer for 2,499/- in Diwali Offer but cartridge price is very high when I want to change it is approximately 2500 for black and for colors. After making some jugaad's I try to refill there cartridges with watching some youtube videos. But lead to loss of printer head and leakeage of inks into printer. I personally recommend to buy inkjet or laserjet printer for better experience and long run for this initial cost is high but in future operating cost will be low.

CAUTION: hp ink catridges are infamous for ink level reuction from 100% to 20% just after printing 5 color picture in glossy paper

BEFORE BUYING THIS PRINTER CONSIDER THE ABOVE.

THE RIDICULOUS REDUCTION IN INK LEVEL OCCURS DUE TO
INK DRYING IN CATRIDGE
OR DUE TO USING ALREADY USED COUNTERFEIT CATRIDGES

MAJOR CAUSE IS INK DRYING, THAT WILL HAPPEN EVEN IF YOU BUY FROM OFFICIAL HP STORE

ALMOST 50% OF ALL HP INK CATRIDGES REVIEWS TELL THAT

SO IT MEANS 50% chance that you will recieve a catrige that will print 10 pages rather than 60 pages

IT IS BETTER IF YOU SEE THOSE REVIEWS FROM AMAZON YOURSELVES, INK COLOR 805, 805XL, TRI COLOR AND BLACK

After printing 5 glossy paper color photo ink level of pre-installed catridges reduced from 100% to 20 %

Photo print max resolution 1200 x 1200 dpi

Uses tri color hp 805 and black ink

Color catrige are cheaper than canon but can print 1\5th that of other company catridges

Direct scan and print without pc....yes 600x300 dpi

Wireless...... No

Support mobile printing...no

Usb 2.0

Pages suppoted.....A4; B5; A6; DL envelope

Media types.....
Plain paper, Photo paper, Brochure paper

Duplex print....manual

Hp thermal inkjet printing

Catridge and cost
HP 805 Tri-Color Original Ink Cartridge (~100 pages yield, in reality only 10 pages min to 50 pages max)

HP 805XL Tri-Color High-Yield Original Ink Cartridge (~200 pages yield, in reality 10 pages min to 60 pages max)

Comes with color and black catridges pre installed at 80%-100% ink levels

Paper feeder and roller can be cleaned manually

Paper feeder max 60 page at a time

Paper output 25 page max

Print speed black (ISO)
Up to 7.5 ppm

Print speed color (ISO)
Up to 5.5 ppm

Auto off....yes

Wt ....only 3 kg

Borderless printing
No"
Placeholder,Reviewed in India on 22 October 2022,"CAUTION: hp ink catridges are infamous for ink level reuction from 100% to 20% just after printing 5 color picture in glossy paper

BEFORE BUYING THIS PRINTER CONSIDER THE ABOVE.

THE RIDICULOUS REDUCTION IN INK LEVEL OCCURS DUE TO
INK DRYING IN CATRIDGE
OR DUE TO USING ALREADY USED COUNTERFEIT CATRIDGES

MAJOR CAUSE IS INK DRYING, THAT WILL HAPPEN EVEN IF YOU BUY FROM OFFICIAL HP STORE

ALMOST 50% OF ALL HP INK CATRIDGES REVIEWS TELL THAT

SO IT MEANS 50% chance that you will recieve a catrige that will print 10 pages rather than 60 pages

IT IS BETTER IF YOU SEE THOSE REVIEWS FROM AMAZON YOURSELVES, INK COLOR 805, 805XL, TRI COLOR AND BLACK

After printing 5 glossy paper color photo ink level of pre-installed catridges reduced from 100% to 20 %

Photo print max resolution 1200 x 1200 dpi

Uses tri color hp 805 and black ink

Color catrige are cheaper than canon but can print 1\5th that of other company catridges

Direct scan and print without pc....yes 600x300 dpi

Wireless...... No

Support mobile printing...no

Usb 2.0

Pages suppoted.....A4; B5; A6; DL envelope

Media types.....
Plain paper, Photo paper, Brochure paper

Duplex print....manual

Hp thermal inkjet printing

Catridge and cost
HP 805 Tri-Color Original Ink Cartridge (~100 pages yield, in reality only 10 pages min to 50 pages max)

HP 805XL Tri-Color High-Yield Original Ink Cartridge (~200 pages yield, in reality 10 pages min to 60 pages max)

Comes with color and black catridges pre installed at 80%-100% ink levels

Paper feeder and roller can be cleaned manually

Paper feeder max 60 page at a time

Paper output 25 page max

Print speed black (ISO)
Up to 7.5 ppm

Print speed color (ISO)
Up to 5.5 ppm

Auto off....yes

Wt ....only 3 kg

Borderless printing
No"
Randhir Kumar Mishra,Reviewed in India on 7 May 2023,"1) In every 2 to 3 months you need to change cartridge
2) refill the cartridge repeatedly
3) while refilling colour spread in your hands on table
4) Youtuber says caterer issue will be resolve but that's not fact.
5) you can't connect ink tank in this printer.
6) colour print is not appropriate according to the HP shows in the advertisement"
Sunil K.,Reviewed in India on 2 May 2023,Best for home use
Prasanta Adhikary,Reviewed in India on 27 April 2023,Nice product.
Nash,Reviewed in India on 30 March 2023,"reduced 2 starts because sometimes the print colour is not the colour we want especially ivory and all.
too much ink usage when printing black pics like a blackboard on pic and paper is kinda hard to insert, Other ways the printer is satisfied for emergency use.
note : i didn't try scanner yet"
s.neelakandan,Reviewed in India on 25 April 2023,Black cartridge emptied after printing 23 pages
Amazon Customer,Reviewed in India on 15 April 2023,"We have purchased many things from AMAZON. No defects or problem Hence there is no option to say dislike
Technical support does not arise"
VISHNU K.,Reviewed in India on 14 March 2023,"It is seems like good, once you bought you will face ink consumable and ink cost will be compensated within 5 month, Ho ink cost -850(around), just image of theses things, and if you consider 3rd party ink, that will spoil your printer, Most importantly last April '22 I bought, This March it got mind issue it is not working properly, think before buy, inkjet printers"
Thakur uday,Reviewed in India on 5 April 2023, All over the printer is good for home use except the ink cartridge but you can watch the tutorials on YOUTUBE........how to fill ink cartridge.....👍
