New column 0,New column 1,New column 2,New column 3,New column 3 Url
"HP Smart Tank 589 All-in-one WiFi Colour Printer (Upto 6000 Black and 6000 Colour Pages of Ink Included). - Print, Scan & Copy for Office/Home","14,099",4.3 out of 5 stars,80,https://www.amazon.in/HP-Smart-Colour-Printer-Included/dp/B0BN1XT6TF/ref=sr_1_2?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-2#customerReviews
"HP Deskjet 2331 Colour Printer, Scanner and Copier for Home/Small Office, Compact Size, Reliable, Easy Set-Up Through HP Smart App On Your Pc Connected Through USB, Ideal for Home.",,3.5 out of 5 stars,"22,416",https://www.amazon.in/HP-DeskJet-Inkjet-Colour-Printer/dp/B08D9NDZ1Y/ref=sr_1_3?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-3#customerReviews
"HP Deskjet 2723 Printer, Copy, Scan, Dual Band WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home.",,3.6 out of 5 stars,"4,568",https://www.amazon.in/HP-DeskJet-2723-Wireless-Printer/dp/B08D9MNH4B/ref=sr_1_4?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-4#customerReviews
"HP Smart Tank 529 All-in-one Colour Printer (Upto 6000 Black and 6000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home",,4.0 out of 5 stars,"1,531",https://www.amazon.in/HP-Smart-Colour-Printer-Included/dp/B0BN287KYS/ref=sr_1_5?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-5#customerReviews
"HP Laserjet 108w Single Function Monochrome Laser Wi-Fi Printer For Home/Office, Compact Design, Printing","12,999",4.2 out of 5 stars,"1,542",https://www.amazon.in/HP-4ZB80A-Laser-108w-Printer/dp/B07T2FJGDV/ref=sr_1_6?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-6#customerReviews
HP Laserjet P1108 Single Function Monochrome Laser Printer,,4.4 out of 5 stars,"1,722",https://www.amazon.in/HP-LaserJet-P1108-Function-Monochrome/dp/B008HDF4J4/ref=sr_1_7?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-7#customerReviews
HP Laserjet Pro M126nw Multi-Function Monochrome Laser Printer,"21,166",4.2 out of 5 stars,"5,334",https://www.amazon.in/HP-LaserJet-M126nw-Multi-Function-Monochrome/dp/B00LO3NQYY/ref=sr_1_8?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-8#customerReviews
"HP Ink Advantage 4178 Printer, Automatic Document Feeder, Copy, Scan, Dual Band. WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home","7,599",3.8 out of 5 stars,"5,854",https://www.amazon.in/HP-DeskJet-4178-Wireless-Advantage/dp/B08CYLT7BK/ref=sr_1_9?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-9#customerReviews
"HP Ink Tank 316 All-in-one Colour Printer with Upto 7500 Black and 8000 Colour Pages Included in The Box - Print, Scan & Copy for Office/Home","10,899",4.2 out of 5 stars,"4,549",https://www.amazon.in/HP-Ink-Tank-316-Printer/dp/B08C3J8F4M/ref=sr_1_10?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-10#customerReviews
"HP Deskjet 1212 Printer for Home for Dependable Printing, Simple Setup for Everyday Usage, Ideal for Home.","2,699",3.5 out of 5 stars,"3,551",https://www.amazon.in/HP-DeskJet-1212-Function-Printer/dp/B08CYRBXYX/ref=sr_1_13?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356073&sprefix=hp+print%2Caps%2C595&sr=8-13#customerReviews
